name,univ_file,tax_rate,rate_date,tax_credit,credit_limit
MASON CITY INCOME TAX,YES,0.0112,2013-01-01,1,0.0112
MASSILLON CITY INCOME TAX,YES,0.02,2017-01-01,0.9,0.018
MAUMEE CITY INCOME TAX,YES,0.015,1968-01-16,1,0.015
MAYFIELD HEIGHTS CITY INCOME TAX,YES,0.01,1972-01-01,0.5,0.01
MAYFIELD VILLAGE INCOME TAX,YES,0.02,2010-07-01,1,0.02
MC CLURE VILLAGE INCOME TAX,YES,0.01,2010-07-01,0,0
MC COMB VILLAGE INCOME TAX,YES,0.01,1986-07-01,1,0.01
MC CONNELSVILLE VILLAGE INCOME TAX,YES,0.01,1984-09-01,0.5,0.005
MC DONALD VILLAGE INCOME TAX,YES,0.02,1985-01-01,1,0.02
MC GUFFEY VILLAGE INCOME TAX,YES,0.01,1980-03-17,1,0.01
MECHANICSBURG VILLAGE INCOME TAX,YES,0.01,2004-01-01,0,0
MEDINA CITY INCOME TAX,YES,0.0125,2004-01-01,1,0.0019
MEDINA MONTVILLE JEDD,YES,0.0125,2011-07-01,0,0
MELROSE VILLAGE INCOME TAX,YES,0.01,2010-01-01,0,0
MENTOR CITY INCOME TAX,YES,0.02,1987-05-01,1,0.02
MENTOR ON THE LAKE CITY INCOME TAX,NO,0.02,1987-04-01,1,0.02
METAMORA VILLAGE INCOME TAX,YES,0.01,1993-01-01,0.5,0.01
MIAMI TOWNSHIP DAYTON MALL JEDD,YES,0.0225,2011-01-01,1,0.0225
MIAMISBURG CITY INCOME TAX,NO,0.0225,2011-01-01,1,0.0225
MIDDLE POINT VILLAGE INCOME TAX,YES,0.015,1994-03-16,0.01,0
MIDDLEBURG HEIGHTS CITY INCOME TAX,YES,0.02,2007-01-01,1,0.02
MIDDLEFIELD VILLAGE INCOME TAX,YES,0.01,1976-07-01,0,0
MIDDLEPORT VILLAGE INCOME TAX,YES,0.01,1988-07-01,1,0.01
MIDDLETOWN CITY INCOME TAX,YES,0.0175,2008-01-01,1,0.0175
MIDVALE VILLAGE INCOME TAX,NO,0.01,1977-01-01,1,0.01
MIFFLIN VILLAGE INCOME TAX,YES,0.01,2011-01-01,0,0
MILAN VILLAGE INCOME TAX,YES,0.01,2010-07-01,0,0
MILFORD CENTER VILLAGE INCOME TAX,YES,0.01,1998-01-01,0,0
MILFORD CITY INCOME TAX,YES,0.01,2004-01-01,0,0
MILFORD CITY JEDD,YES,0.01,2009-01-01,0,0
MILFORD CITY JEDD II,YES,0.01,2009-01-01,0,0
MILFORD CITY JEDD III,YES,0.01,2014-01-01,0,0
MILFORD CITY JEDD IV,YES,0.01,2014-01-01,0,0
MILLBURY VILLAGE INCOME TAX,YES,0.015,1994-03-16,0.005,0
MILLER CITY INCOME TAX,YES,0.01,2011-01-01,1,0.01
MILLERSBURG VILLAGE INCOME TAX,YES,0.015,2013-01-01,0,0
MILLERSPORT VILLAGE INCOME TAX,YES,0.01,2016-07-01,0,0
MINERAL CITY VILLAGE INCOME TAX,YES,0.01,1973-01-01,1,0.01
MINERVA PARK VILLAGE INCOME TAX,YES,0.02,2015-01-01,0,0
MINERVA VILLAGE INCOME TAX,YES,0.0175,2017-01-01,1,0.015
MINGO JUNCTION VILLAGE INCOME TAX,YES,0.01975,2013-07-01,1,0.01975
MINSTER VILLAGE INCOME TAX,YES,0.015,1990-01-01,1,0.015
MOGADORE VILLAGE INCOME TAX,YES,0.0225,2010-07-01,1,0.0225
MONCLOVA-MAUMEE-TOLEDO JEDZ,YES,0.015,2006-07-01,0,0
MONROE CITY INCOME TAX,YES,0.015,2006-07-01,1,0.015
MONROEVILLE VILLAGE INCOME TAX,YES,0.01,1983-01-01,1,0.01
MONTGOMERY CITY INCOME TAX,YES,0.01,1972-01-16,1,0.01
MONTPELIER VILLAGE INCOME TAX,YES,0.016,1968-10-01,1,0.016
MORAINE CITY INCOME TAX,YES,0.025,2014-07-01,1,0.025
MORELAND HILLS VILLAGE INCOME TAX,YES,0.01,1972-01-01,0,0
MORRAL VILLAGE INCOME TAX,YES,0.01,2013-10-01,0,0
MORROW VILLAGE INCOME TAX,YES,0.01,1981-07-01,0.5,0.005
MOUNT CORY VILLAGE INCOME TAX,YES,0.01,2016-01-01,0,0
MOUNT EATON VILLAGE INCOME TAX,YES,0.01,1994-01-01,1,0.01
MOUNT GILEAD VILLAGE INCOME TAX,YES,0.01,1965-01-01,0,0
MOUNT HEALTHY CITY INCOME TAX,YES,0.02,2015-01-01,1,0.016
MOUNT ORAB VILLAGE INCOME TAX,YES,0.01,2000-09-01,1,0.01
MOUNT STERLING VILLAGE INCOME TAX,YES,0.01,1994-03-16,0,0
MOUNT VERNON CITY INCOME TAX,YES,0.015,1983-01-01,0.01,0
MOUNT VICTORY VILLAGE INCOME TAX,YES,0.01,2013-07-18,0,0
MUNROE FALLS CITY INCOME TAX,YES,0.02,1981-07-01,1,0.02
NAPOLEON CITY INCOME TAX,YES,0.015,2009-07-01,1,0.015
NAVARRE VILLAGE INCOME TAX,YES,0.015,1987-07-01,1,0.015
NELSONVILLE CITY INCOME TAX,YES,0.0175,2014-01-01,0.005,0.0175
NEW ALBANY VILLAGE INCOME TAX,YES,0.02,2004-01-01,1,0.02
NEW BAVARIA VILLAGE INCOME TAX,YES,0.01,2011-07-01,0,0
NEW BLOOMINGTON CITY INCOME TAX,YES,0.01,2002-03-01,0.5,0.01
NEW BOSTON VILLAGE INCOME TAX,REGISTRATION,0.025,1988-01-01,1,0.025
NEW BREMEN VILLAGE INCOME TAX,NO,0.015,1996-01-01,1,0.015
NEW CARLISLE CITY INCOME TAX,YES,0.015,2015-07-01,0,0
NEW CONCORD VILLAGE INCOME TAX,NO,0.015,2015-01-01,1,0.015
NEW FRANKLIN VILLAGE INCOME TAX,YES,0.02,2017-01-01,1,0.02
NEW KNOXVILLE VILLAGE INCOME TAX,YES,0.015,1998-01-01,1,0.015
NEW LEBANON VILLAGE INCOME TAX,YES,0.01,1973-07-01,0,0
NEW LEXINGTON VILLAGE INCOME TAX,YES,0.01,1978-01-01,0,0
NEW LONDON VILLAGE INCOME TAX,YES,0.015,1974-01-01,0.67,0.01
NEW MADISON VILLAGE INCOME TAX,YES,0.01,2008-01-01,1,0.01
NEW MIAMI VILLAGE INCOME TAX,NO,0.0175,1985-01-01,1,0.0175
NEW PARIS VILLAGE INCOME TAX,YES,0.01,2012-10-01,1,0.005
NEW PHILADELPHIA CITY INCOME TAX,YES,0.015,2005-07-01,1,0.015
NEW RICHMOND VILLAGE INCOME TAX,YES,0.01,2010-01-01,0.5,0.01
NEW RIEGEL VILLAGE INCOME TAX,YES,0.01,1997-01-01,1,0.005
NEW WASHINGTON VILLAGE INCOME TAX,YES,0.015,2003-07-01,0.0075,0.0075
NEW WATERFORD VILLAGE INCOME TAX,YES,0.01,2003-01-01,0.5,0.01
NEWARK CITY INCOME TAX,YES,0.0175,2002-01-01,0.5714,0
NEWBURGH HEIGHTS VILLAGE INCOME TAX,YES,0.02,2001-03-01,0,0
NEWCOMERSTOWN VILLAGE INCOME TAX,YES,0.02,2002-01-01,1,0.02
NEWTON FALLS INCOME TAX,YES,0.01,1975-01-01,0.01,0.01
NEWTONSVILLE VILLAGE INCOME TAX(,YES,0.01,2017-01-01,0,0
NEWTOWN VILLAGE INCOME TAX,YES,0.01,1994-03-16,1,0.01
NEY VILLAGE INCOME TAX,YES,0.01,2016-01-01,0,0
NILES CITY INCOME TAX,YES,0.02,2016-07-01,1,0.02
NORTH BALTIMORE VILLAGE INCOME TAX,YES,0.01,1982-01-01,0,0
NORTH CANTON CITY INCOME TAX,YES,0.015,1971-07-01,1,0.015
NORTH COLLEGE HILL CITY INCOME TAX,YES,0.015,2003-01-01,0,0
NORTH KINGSVILLE VILLAGE INCOME TAX,YES,0.013,2015-01-01,0.38,0
NORTH LEWISBURG VILLAGE INCOME TAX,YES,0.01,1995-01-01,0,0
NORTH OLMSTEAD CITY INCOME TAX,YES,0.02,1991-03-01,1,0.02
NORTH PERRY VILLAGE INCOME TAX,YES,0.01,1983-01-01,1,0.01
NORTH PICKAWAY COUNTY JEDD,YES,0.025,2008-11-14,1,0.025
NORTH RANDALL VILLAGE INCOME TAX,YES,0.0275,2009-01-01,1,0.0275
NORTH RIDGEVILLE CITY INCOME TAX,YES,0.01,1993-01-01,0.1,0.01
NORTH ROBINSON CITY INCOME TAX,YES,0.01,2014-01-01,0,0
NORTH ROYALTON CITY INCOME TAX,YES,0.02,2007-01-01,1,0.0125
NORTH STAR VILLAGE INCOME TAX,YES,0.005,2010-07-01,1,0.005
NORTHFIELD VILLAGE INCOME TAX,YES,0.02,2005-01-01,1,0.02
NORTHWOOD CITY INCOME TAX,YES,0.015,1978-03-16,1,0.015
NORTON CITY INCOME TAX,YES,0.02,2005-01-01,1,0.015
NORWALK CITY INCOME TAX,YES,0.015,1999-01-01,1,0.015
NORWOOD CITY INCOME TAX,YES,0.02,1981-01-01,1,0.02
OAK HARBOR VILLAGE INCOME TAX,YES,0.01,1970-10-01,0,0
OAK HILL VILLAGE INCOME TAX,YES,0.005,2014-04-01,0,0
OAKWOOD CITY INCOME TAX,YES,0.025,1984-10-01,1,0.025
OAKWOOD VILLAGE INCOME TAX (CUYAHOGA),YES,0.025,2010-07-01,1,0.025
OAKWOOD VILLAGE INCOME TAX (PAULDING),YES,0.01,1996-01-26,1,0.01
OBERLIN CITY INCOME TAX,YES,0.025,2015-01-01,1,0.025
OBETZ VILLAGE INCOME TAX,NO,0.025,2015-01-01,1,0.025
OCTA VILLAGE INCOME TAX,YES,0.01,2003-05-07,0.5,0.005
OHIO CITY VILLAGE INCOME TAX,YES,0.01,1986-07-01,0,0
OLMSTED FALLS CITY INCOME TAX,YES,0.015,1982-03-01,0.5,0.015
ONTARIO CITY INCOME TAX,YES,0.015,2010-01-01,1,0.01
ORANGE CHAGRIN HIGHLANDS JEDD,YES,0.02,2000-01-01,0,0
ORANGE VILLAGE INCOME TAX,YES,0.02,1982-07-01,0.6,0.015
OREGON CITY INCOME TAX,YES,0.0225,2017-01-01,1,0.0225
ORRVILLE CITY INCOME TAX,YES,0.01,1970-10-01,1,0.01
ORWELL VILLAGE INCOME TAX,YES,0.01,1983-08-01,1,0.01
OSGOOD VILLAGE INCOME TAX,YES,0.01,2009-07-01,1,0.01
OSTRANDER VILLAGE INCOME TAX,YES,0.01,2017-01-01,1,0.01
OTTAWA HILLS VILLAGE INCOME TAX,REGISTRATION,0.015,1972-01-01,0.5,0.005
OTTAWA VILLAGE INCOME TAX,YES,0.01,1970-01-01,0,0
OTTOVILLE VILLAGE INCOME TAX,YES,0.01,1971-01-01,1,0.01
OWENSVILLE VILLAGE INCOME TAX,YES,0.01,2005-06-01,0,0
OXFORD CITY INCOME TAX,YES,0.02,2011-01-01,1,0.02
PAINESVILLE CITY INCOME TAX,YES,0.02,1983-03-01,1,0.02
PAINESVILLE CONCORD JEDD,YES,0.0175,2010-01-01,0,0
PANDORA VILLAGE INCOME TAX,YES,0.015,1991-01-01,1,0.015
PARMA CITY INCOME TAX,YES,0.025,2007-01-01,1,0.02
PARMA HEIGHTS CITY INCOME TAX,YES,0.03,2005-01-01,1,0.02
PATASKALA CITY INCOME TAX,YES,0.01,2010-07-01,0,0
PATASKALA JEDD,YES,0.0175,2010-04-01,0,0
PATTERSON VILLAGE INCOME TAX,YES,0.01,2014-04-01,0,0
PAULDING CITY INCOME TAX,YES,0.01,2014-01-01,0,0
PEMBERVILLE VILLAGE INCOME TAX,YES,0.01,1977-01-01,0,0
PENINSULA VILLAGE INCOME TAX,YES,0.02,2013-01-01,1,0.02
PEPPER PIKE CITY INCOME TAX,YES,0.01,1972-01-01,0.5,0.01
PERRY JEDD,YES,0.01,2009-01-01,0,0
PERRY VILLAGE INCOME TAX,YES,0.02,2014-07-01,1,0.02
PERRYSBURG CITY INCOME TAX,YES,0.015,1971-01-01,0.5,0.0075
PERRYSBURG TOLEDO JEDZ,YES,0.015,1993-01-01,0.5,0.0075
PERRYSVILLE VILLAGE INCOME TAX,YES,0.01,1988-01-01,0.5,0.005
PHILLIPSBURG VILLAGE INCOME TAX,YES,0.015,1997-01-01,1,0.01
PICKERINGTON CITY INCOME TAX,YES,0.01,1976-01-01,0.5,0.005
PIKETON CITY INCOME TAX,YES,0.01,2005-09-01,0,0
PIONEER VILLAGE INCOME TAX,YES,0.01,1994-03-16,1,0.01
PIQUA CITY INCOME TAX,YES,0.02,2015-01-01,1,0.02
PLAIN CITY VILLAGE INCOME TAX,YES,0.015,2016-07-01,0,0
PLEASANT HILL VILLAGE INCOME TAX,YES,0.0075,2003-01-01,0,0
PLEASANTVILLE VILLAGE INCOME TAX,YES,0.01,2013-10-01,0,0
PLYMOUTH VILLAGE INCOME TAX,YES,0.01,2008-01-01,0,0
POMEROY VILLAGE INCOME TAX,YES,0.01,1985-01-01,1,0.01
PORT CLINTON CITY INCOME TAX,YES,0.015,1981-01-01,0.005,0.005
PORT WASHINGTON VILLAGE INCOME TAX,YES,0.015,2015-01-01,1,0.015
PORTAGE VILLAGE INCOME TAX,YES,0.01,2009-01-01,0,0
PORTSMOUTH CITY INCOME TAX,YES,0.025,2016-01-01,0.5,0.0125
POWELL VILLAGE INCOME TAX,YES,0.0075,1990-01-01,1,0.0025
POWHATAN POINT VILLAGE INCOME TAX,YES,0.01,2014-07-01,0.5,0.01
PRAIRIE OBETZ JEDZ,NO,0.025,2015-01-01,1,0.025
PRAIRIE TOWNSHIP JEDD,NO,0.025,2012-10-01,1,0.025
QUINCY VILLAGE INCOME TAX,YES,0.01,2010-07-01,0,0
RAVENNA CITY INCOME TAX,YES,0.025,2016-05-01,1,0.025
READING CITY INCOME TAX,YES,0.02,2006-01-01,1,0.02
REMINDERVILLE TWINSBURG TOWNSHIP JEDD,YES,0.015,2002-01-01,0,0
REMINDERVILLE VILLAGE INCOME TAX,YES,0.015,1998-07-01,0,0
REYNOLDSBURG CITY E-ZONE,YES,0.015,2009-01-01,0,0
REYNOLDSBURG CITY INCOME TAX,YES,0.015,1982-07-01,1,0.015
RICHFIELD VILLAGE INCOME TAX,YES,0.02,1992-07-01,1,0.02
RICHMOND HEIGHTS CITY INCOME TAX,YES,0.0225,2013-07-01,1,0.0125
RICHWOOD VILLAGE INCOME TAX,YES,0.01,1995-01-01,0,0
RIDGEWAY CITY INCOME TAX,YES,0.005,2002-10-10,0,0
RIO GRANDE VILLAGE INCOME TAX,YES,0.015,2013-01-01,1,0.015
RIPLEY VILLAGE INCOME TAX,YES,0.01,2004-01-01,1,0.01
RITTMAN CITY INCOME TAX,YES,0.015,1978-01-01,1,0.01
RIVERSIDE MUNICIPAL INCOME TAX,YES,0.015,2002-01-01,1,0.0075
ROCK CREEK VILLAGE INCOME TAX,YES,0.01,1987-01-01,0,0
ROCKFORD VILLAGE INCOME TAX,YES,0.01,2005-01-01,0.5,0.005
ROCKY RIVER CITY INCOME TAX,YES,0.02,2015-01-01,1,0.015
ROSEVILLE VILLAGE INCOME TAX,YES,0.01,1969-01-01,0,0
ROSSFORD CITY INCOME TAX,YES,0.0225,1989-01-01,1,0.0225
ROSWELL VILLAGE INCOME TAX,YES,0.01,1979-12-31,1,0.01
RUSH TOWNSHIP UHRICHSVILLE JEDD,YES,0.0175,2014-07-01,0,0
RUSHSYLVANIA VILLAGE INCOME TAX,YES,0.01,2015-01-01,0,0
RUSSELLS POINT CITY INCOME TAX,YES,0.01,2005-01-01,0,0
RUSSIA VILLAGE INCOME TAX,YES,0.015,2004-07-01,1,0.015
SABINA CITY INCOME TAX,YES,0.01,2005-01-01,0.5,0.01
SAINT BERNARD CITY INCOME TAX,YES,0.021,2005-07-01,1,0.021
SAINT CLAIRSVILLE CITY INCOME TAX,YES,0.0075,2011-04-01,0.5,0.0075
SAINT HENRY VILLAGE INCOME TAX,REGISTRATION,0.01,1994-03-16,1,0.01
SAINT LOUISVILLE VILLAGE INCOME TAX,YES,0.01,2017-01-01,0,0
SAINT MARYS CITY INCOME TAX,YES,0.015,1996-01-01,1,0.015
SAINT PARIS VILLAGE INCOME TAX,YES,0.01,1972-07-01,0,0
SALEM CITY INCOME TAX,YES,0.0125,2016-01-01,0.0125,0.0125
SALINEVILLE VILLAGE INCOME TAX,YES,0.01,1980-07-01,0,0
SANDUSKY CITY INCOME TAX,YES,0.0125,2015-01-01,0,0
SARDINIA VILLAGE INCOME TAX,YES,0.01,2008-01-01,0,0
SAYBROOK TOWNSHIP JEDD,YES,0.018,2013-03-01,0.5,0.018
SCIO VILLAGE INCOME TAX,YES,0.01,1991-01-01,1,0.01
SCIOTO TOWNSHIP JEDD,YES,0.02,2015-01-01,0,0
SEBRING VILLAGE INCOME TAX,YES,0.02,2007-01-01,1,0.02
SEVEN HILLS CITY INCOME TAX,YES,0.025,2017-01-01,1,0.0165
SEVILLE VILLAGE INCOME TAX,YES,0.01,1980-07-01,0,0
SHAKER HEIGHTS CITY INCOME TAX,YES,0.0225,2012-10-01,0.5,0.01
SHAKER SQUARE - REVENUE SHARING,YES,0.02,2003-01-01,0,0
SHARONVILLE CITY INCOME TAX,YES,0.015,2002-01-01,1,0.015
SHAWNEE HILLS VILLAGE INCOME TAX,YES,0.02,1995-01-01,1,0.0175
SHEFFIELD LAKE CITY INCOME TAX,YES,0.02,2014-07-01,0.5,0.01
SHEFFIELD VILLAGE INCOME TAX,YES,0.02,2009-05-31,1,0.02
SHELBY CITY INCOME TAX,YES,0.015,2014-01-01,0.67,0.0067
SHERRODSVILLE VILLAGE INCOME TAX,NO,0.01,1994-03-16,1,0.01
SHERWOOD VILLAGE INCOME TAX,YES,0.01,2004-07-01,1,0.01
SHREVE VILLAGE INCOME TAX,YES,0.01,1971-01-01,0.5,0.01
SIDNEY CITY INCOME TAX,YES,0.0175,2015-01-01,1,0.0175
SILVER LAKE VILLAGE INCOME TAX,YES,0.02,1993-01-01,1,0.02
SILVERTON CITY INCOME TAX,YES,0.0125,2003-01-01,0,0
SMITHFIELD VILLAGE INCOME TAX,YES,0.01,2017-01-01,0,0
SMITHVILLE VILLAGE INCOME TAX,YES,0.015,2002-01-01,1,0.01
SOLON CITY INCOME TAX,YES,0.02,1994-03-16,1,0.02
SOLON CITY INCOME TAX(1),YES,0.01,2017-01-01,0,0
SOUTH AMHERST VILLAGE INCOME TAX,YES,0.01,1971-01-01,0.5,0.005
SOUTH BLOOMFIELD VILLAGE INCOME TAX,NO,0.01,2005-07-01,0,0
SOUTH CHARLESTON VILLAGE INCOME TAX,YES,0.01,1975-01-01,1,0.01
SOUTH EUCLID CITY INCOME TAX,YES,0.02,2006-01-01,0.75,0.01
SOUTH LEBANON VILLAGE INCOME TAX,YES,0.01,1994-03-16,0.5,0.005
SOUTH RUSSELL VILLAGE INCOME TAX,YES,0.0125,2012-01-01,0.75,0.0094
SOUTH SOLON VILLAGE INCOME TAX,YES,0.01,2014-07-01,1,0.005
SOUTH VIENNA VILLAGE INCOME TAX(1),YES,0.01,2017-01-01,0,0
SOUTH ZANESVILLE VILLAGE INCOME TAX,YES,0.015,2005-01-01,1,0.015
SPENCERVILLE VILLAGE INCOME TAX,YES,0.015,2014-01-01,1,0.015
SPRINGBORO CITY INCOME TAX,YES,0.015,1994-03-16,0.01,0.01
SPRINGDALE CITY INCOME TAX,YES,0.015,2004-07-01,1,0.015
SPRINGFIELD BECKLEY MUNI AIRPARK JEDD,YES,0.01,1997-01-01,0.5,0.005
SPRINGFIELD CITY INCOME TAX,YES,0.02,2000-07-01,0.5,0.01
SPRINGFIELD TOWNSHIP JEDZ,YES,0.015,2014-08-01,0,0
SPRINGFIELD-AKRON JEDD,YES,0.0225,2005-04-01,1,0.0225
STEUBENVILLE CITY INCOME TAX,YES,0.02,2011-08-03,1,0.02
STONE CREEK VILLAGE INCOME TAX,YES,0.01,1994-03-16,1,0.01
STOW CITY INCOME TAX,YES,0.02,1990-01-01,1,0.02
STRASBURG VILLAGE INCOME TAX,YES,0.015,2014-07-01,1,0.01
STRATTON VILLAGE INCOME TAX,YES,0.01,2008-08-01,1,0.01
STREETSBORO CITY INCOME TAX,YES,0.02,2009-05-26,0.01,0.02
STRONGSVILLE CITY INCOME TAX,YES,0.02,1993-07-01,0.75,0.02
STRUTHERS CITY INCOME TAX,YES,0.02,1983-03-01,1,0.02
STRYKER VILLAGE INCOME TAX,YES,0.015,1989-09-01,0.01,0
SUGAR GROVE VILLAGE INCOME TAX,YES,0.0075,1981-01-01,0.5,0.0075
SUGARCREEK VILLAGE INCOME TAX,YES,0.015,1995-11-07,1,0.015
SUNBURY VILLAGE INCOME TAX,YES,0.01,1981-07-01,0,0
SWANTON VILLAGE INCOME TAX,YES,0.0125,1990-01-01,0.5,0.01
SYCAMORE TOWNSHIP CENTRAL JEDZ,YES,0.0075,2013-10-01,0,0
SYCAMORE TOWNSHIP EAST JEDZ,YES,0.0075,2013-10-01,0,0
SYCAMORE TOWNSHIP NORTHWEST JEDZ,YES,0.0075,2014-07-01,1,0.015
SYCAMORE TOWNSHIP SOUTHWEST JEDZ,YES,0.0075,2013-10-01,0,0
SYCAMORE VILLAGE INCOME TAX,YES,0.01,1988-05-01,0.5,0.01
SYLVANIA CITY INCOME TAX,YES,0.015,1994-03-16,1,0.015
TALLMADGE CITY INCOME TAX,YES,0.02,2004-03-01,1,0.02
THURSTON VILLAGE INCOME TAX,YES,0.01,2010-07-01,0,0
TIFFIN CITY INCOME TAX,YES,0.0175,1987-07-01,1,0.0175
TIMBERLAKE VILLAGE INCOME TAX,YES,0.01,1968-10-01,0.5,0.005
TIPP CITY INCOME TAX,YES,0.015,2011-07-01,1,0.015
TIRO VILLAGE INCOME TAX,YES,0.01,2013-07-01,0,0
TOLEDO CITY INCOME TAX,NO,0.0225,1982-07-01,1,0.0225
TONTOGANY VILLAGE INCOME TAX,YES,0.01,1968-07-01,1,0.01
TORONTO CITY INCOME TAX,YES,0.02,2006-01-01,1,0.02
TREMONT CITY VILLAGE INCOME TAX,YES,0.01,2009-07-01,0,0
TRENTON CITY INCOME TAX,YES,0.015,1967-01-01,1,0.015
TRIMBLE VILLAGE INCOME TAX,YES,0.01,2015-07-01,0,0
TROTWOOD CITY INCOME TAX,YES,0.0225,1993-07-01,1,0.0225
TROY CITY INCOME TAX,YES,0.0175,1993-01-01,1,0.0175
TUSCARAWAS VILLAGE INCOME TAX,YES,0.01,1994-03-16,1,0.01
TWINSBURG CITY INCOME TAX,YES,0.02,2014-01-01,1,0.02
UHRICHSVILLE CITY INCOME TAX,YES,0.0175,1983-07-01,1,0.0175
UNION CITY INCOME TAX,YES,0.01,2007-01-01,1,0.01
UNION CITY VILLAGE INCOME TAX,YES,0.01,1988-01-01,0,0
UNIVERSITY HEIGHTS CITY INCOME TAX,YES,0.025,2007-01-01,1,0.01
UPPER ARLINGTON CITY INCOME TAX,YES,0.025,2015-01-01,1,0.025
UPPER SANDUSKY CITY INCOME TAX,NO,0.01,1969-04-01,0,0
URBANA CITY INCOME TAX,YES,0.014,1992-01-01,0.01,0
URBANCREST VILLAGE INCOME TAX,YES,0.02,1984-08-01,1,0.02
UTICA VILLAGE INCOME TAX,YES,0.0175,2010-10-01,0.005,0
VALLEY HI VILLAGE INCOME TAX,NO,0.01,2002-01-01,1,0.01
VALLEY VIEW VILLAGE INCOME TAX (CUYAHOGA),YES,0.02,1989-01-01,1,0.02
VALLEYVIEW VILLAGE INCOME TAX (FRANKLIN),YES,0.01,2012-01-01,0,0
VAN WERT CITY INCOME TAX,YES,0.0172,2000-01-01,0.25,0.0043
VANDALIA CITY INCOME TAX,YES,0.02,2006-01-01,1,0.02
VANLUE VILLAGE INCOME TAX,YES,0.01,2016-01-01,0,0
VERMILION CITY INCOME TAX,YES,0.015,1994-03-16,1,0.005
VERSAILLES VILLAGE INCOME TAX,YES,0.015,1995-01-01,1,0.015
WADSWORTH CITY INCOME TAX,YES,0.014,2011-01-01,1,0.01
WAKEMAN VILLAGE INCOME TAX,YES,0.01,2004-05-01,0,0
WALBRIDGE VILLAGE INCOME TAX,YES,0.015,1972-01-01,0.01,0
WALTON HILLS VILLAGE INCOME TAX,YES,0.025,2013-07-01,1,0.025
WALTON HILLS-SAGAMORE HILLS TOWNSHIP JEDD,YES,0.025,2015-09-01,1,0.025
WAPAKONETA CITY INCOME TAX,YES,0.01,1986-09-01,1,0.01
WARREN CITY INCOME TAX,YES,0.025,2017-01-01,1,0.025
WARRENSVILLE HEIGHTS CITY INCOME TAX,YES,0.026,2009-07-01,0.005,0.013
WARRENSVILLE HEIGHTS JEDZ,YES,0.026,2009-07-01,0,0
WASHINGTON COURT HOUSE CITY INCOME TAX,YES,0.0195,2016-01-01,0.5,0.005
WATERVILLE VILLAGE INCOME TAX,YES,0.02,1983-01-01,1,0.015
WAUSEON CITY INCOME TAX,YES,0.015,1986-01-01,1,0.015
WAVERLY CITY INCOME TAX,YES,0.01,2004-01-01,1,0.01
WAYNESFIELD VILLAGE INCOME TAX,YES,0.01,2008-01-01,1,0.01
WAYNESVILLE VILLAGE INCOME TAX,YES,0.005,2016-01-01,0,0
WELLINGTON VILLAGE INCOME TAX,YES,0.01,1970-04-07,0,0
WELLSTON CITY INCOME TAX,YES,0.01,2005-12-01,1,0.01
WELLSVILLE VILLAGE INCOME TAX,YES,0.01,2004-07-01,0,0
WEST ALEXANDRIA VILLAGE INCOME TAX,YES,0.01,1986-01-01,0.5,0.005
WEST CARROLLTON CITY INCOME TAX,YES,0.0225,2014-01-01,1,0.0225
WEST CHESTER JEDD 1,YES,0.01,2009-09-15,0,0
WEST ELKTON VILLAGE INCOME TAX,YES,0.01,2006-01-01,1,0.01
WEST JEFFERSON VILLAGE INCOME TAX,YES,0.01,1972-01-01,0,0
WEST LAFAYETTE VILLAGE INCOME TAX,YES,0.015,2003-01-01,0.015,0.015
WEST LIBERTY VILLAGE  INCOME TAX,YES,0.01,2013-07-01,1,0.5
WEST MANSFIELD CITY INCOME TAX,YES,0.01,2013-01-01,0,0.01
WEST MILTON VILLAGE INCOME TAX,YES,0.015,1997-01-01,0,0
WEST SALEM VILLAGE INCOME TAX,YES,0.01,2010-10-01,0,0
WEST UNION VILLAGE INCOME TAX,YES,0.01,2008-01-01,1,0.01
WEST UNITY VILLAGE INCOME TAX,YES,0.015,2004-01-01,1,0.015
WESTERVILLE CITY INCOME TAX,YES,0.02,2009-01-01,1,0.02
WESTFIELD CENTER VILLAGE INCOME TAX,YES,0.01,1993-01-01,1,0.01
WESTLAKE CITY INCOME TAX,YES,0.015,1996-01-01,1,0.015
WESTON VILLAGE INCOME TAX,YES,0.01,1970-01-01,0,0
WHITEHALL CITY INCOME TAX,YES,0.025,2011-01-01,1,0.025
WHITEHOUSE VILLAGE INCOME TAX,YES,0.015,1970-01-01,0.0075,0
WICKLIFFE CITY INCOME TAX,YES,0.02,1987-01-01,1,0.02
WILLARD CITY INCOME TAX,YES,0.01375,2014-01-01,1,0.01375
WILLIAMSBURG VILLAGE INCOME TAX,YES,0.01,1981-01-01,1,0.01
WILLOUGHBY CITY INCOME TAX,YES,0.02,1986-07-01,1,0.02
WILLOUGHBY HILLS CITY INCOME TAX,YES,0.02,2011-01-01,1,0.015
WILLOWICK CITY INCOME TAX,YES,0.02,1985-09-01,0.875,0.02
WILLSHIRE VILLAGE INCOME TAX,YES,0.01,2006-01-01,0,0
WILMINGTON CITY INCOME TAX,YES,0.015,2017-01-01,1,0.01
WILMOT VILLAGE INCOME TAX,YES,0.015,2002-01-01,1,0.015
WINDHAM VILLAGE INCOME TAX,YES,0.015,1997-12-09,0.005,0.005
WINTERSVILLE VILLAGE INCOME TAX,YES,0.01,1995-07-01,1,0.01
WOODLAWN VILLAGE INCOME TAX,YES,0.02,2001-04-01,1,0.02
